hours_operated,temperature,vibration,oil_pressure,rpm,load,health_label,RUL
3776.7,100.6,7.82,44.4,2037.0,48.8,Warning,719.2
9509.6,103.3,12.43,24.0,937.0,30.0,Failure,209.3
7333.3,104.2,11.07,28.2,933.0,53.7,Warning,249.5
6006.7,100.0,10.57,31.2,1385.0,46.8,Warning,375.4
1602.4,95.1,5.35,50.8,1633.0,72.4,Healthy,814.0
1602.1,96.0,5.69,49.9,2056.0,67.4,Healthy,936.4
627.9,89.0,3.66,51.6,1925.0,50.5,Healthy,1094.7
8668.5,112.6,12.39,23.2,1569.0,40.3,Failure,242.0
6031.1,109.2,10.79,29.8,1310.0,94.2,Warning,238.7
7095.3,113.1,11.6,25.0,2396.0,56.8,Failure,216.3
254.8,97.5,3.46,50.5,1539.0,73.2,Healthy,948.9
9700.6,109.6,13.41,19.3,1577.0,34.8,Failure,178.6
8332.8,108.6,12.74,24.4,1145.0,59.0,Failure,194.9
2162.8,89.9,5.34,48.3,2092.0,26.9,Healthy,1024.5
1859.2,100.7,5.95,43.4,1941.0,60.4,Warning,765.2
1874.9,101.4,5.85,50.8,1231.0,92.5,Healthy,870.5
3077.2,92.4,6.42,48.7,1024.0,51.9,Healthy,854.1
5271.3,100.6,8.6,36.3,1921.0,27.7,Warning,489.0
4347.9,92.1,7.06,43.4,1882.0,27.2,Warning,771.7
2947.7,97.6,6.29,46.0,1310.0,52.2,Healthy,850.5
6137.9,106.3,9.51,37.0,2326.0,36.2,Warning,387.6
1438.0,83.5,3.5,51.6,1127.0,26.6,Healthy,1203.3
2956.8,98.9,7.04,46.2,1549.0,77.9,Warning,728.3
3695.3,99.5,7.86,40.6,2315.0,57.1,Warning,637.2
4587.9,101.0,7.46,36.1,1530.0,45.2,Warning,631.1
7862.5,123.4,13.23,24.6,1858.0,88.0,Failure,180.4
2036.8,87.0,5.03,54.0,1496.0,33.1,Healthy,1063.0
5166.6,111.8,9.32,39.8,1311.0,91.9,Warning,429.8
5944.5,99.6,9.38,32.3,2376.0,47.0,Warning,474.8
512.2,94.9,4.43,53.3,1514.0,87.2,Healthy,894.2
6095.1,111.1,10.41,30.7,2241.0,67.2,Warning,215.0
1746.7,95.1,5.62,49.7,1245.0,82.9,Healthy,960.5
697.3,94.4,4.53,47.0,1220.0,93.9,Healthy,1037.6
9491.4,108.1,12.16,19.3,947.0,45.2,Failure,195.4
9658.0,126.2,14.75,14.4,1878.0,92.3,Failure,149.8
8093.6,109.6,11.8,26.6,1453.0,52.3,Failure,243.0
3080.9,91.4,7.11,44.1,2197.0,52.0,Healthy,852.1
1021.8,82.9,3.87,55.6,1610.0,48.8,Healthy,1059.1
6858.1,110.7,12.06,32.1,2352.0,62.9,Failure,222.5
4429.5,96.8,6.54,42.7,1178.0,35.8,Warning,739.2
